"day_num","date","active_cases","cured","death","total_confirmed_cases"
1,2020-01-30,1,0,0,1
2,2020-02-02,2,0,0,2
3,2020-02-03,3,0,0,3
4,2020-03-02,5,0,0,5
5,2020-03-03,6,0,0,6
6,2020-03-10,47,0,0,47
7,2020-03-11,60,0,0,60
8,2020-03-12,73,0,0,73
9,2020-03-12,71,3,0,74
10,2020-03-13,71,3,1,75
11,2020-03-13,67,10,2,79
12,2020-03-14,71,10,2,83
13,2020-03-14,72,10,2,84
14,2020-03-15,82,9,2,93
15,2020-03-15,96,9,2,107
16,2020-03-15,95,10,2,107
17,2020-03-15,95,13,2,110
18,2020-03-16,99,13,2,114
19,2020-03-17,110,13,2,125
20,2020-03-17,109,13,3,125
21,2020-03-17,110,13,3,126
22,2020-03-17,120,14,3,137
23,2020-03-18,130,14,3,147
24,2020-03-18,134,14,3,151
25,2020-03-19,148,15,3,166
26,2020-03-19,148,15,4,167
27,2020-03-19,149,20,4,173
28,2020-03-20,171,20,4,195
29,2020-03-20,196,23,4,223
30,2020-03-21,231,23,4,258
31,2020-03-21,256,23,4,283
32,2020-03-22,296,24,4,324
33,2020-03-22,295,24,5,324
34,2020-03-22,329,24,7,360
35,2020-03-23,359,24,7,390
36,2020-03-23,359,24,7,390
37,2020-03-23,402,24,7,433
38,2020-03-23,390,35,9,434
39,2020-03-24,446,37,9,492
40,2020-03-24,470,40,9,519
41,2020-03-24,469,40,10,519
42,2020-03-25,512,41,9,562
43,2020-03-25,553,43,10,606
44,2020-03-26,593,43,13,649
45,2020-03-26,634,45,15,694
46,2020-03-27,640,67,17,724
47,2020-03-28,775,79,19,873
48,2020-03-28,810,80,19,909
49,2020-03-29,867,87,25,979
50,2020-03-29,901,96,27,1024
51,2020-03-30,942,100,29,1071
52,2020-03-30,1072,102,31,1205
53,2020-03-31,1200,124,35,1359
54,2020-04-01,1466,133,38,1637
55,2020-04-01,1649,144,41,1834
56,2020-04-02,1764,151,50,1965
57,2020-04-02,1860,156,53,2069
58,2020-04-03,2070,157,56,2283
